iter	RMSE
0	14.59648229
1	14.21880117
2	13.84990595
3	13.48495635
4	13.15387243
5	12.84434247
6	12.55548673
7	12.30533907
8	12.00723589
9	11.70987395
10	11.42872929
11	11.17551203
12	10.93423515
13	10.69221174
14	10.45928626
15	10.22972747
16	10.01538697
17	9.799419571
18	9.598445932
19	9.419871175
20	9.268149982
21	9.11031205
22	8.932556809
23	8.764657834
24	8.614884078
25	8.478036291
26	8.343302405
27	8.221441234
28	8.092833179
29	7.965187159
30	7.858944862
31	7.756600995
32	7.66130292
33	7.569262299
34	7.463620564
35	7.368023166
36	7.280212734
37	7.195252396
38	7.109921463
39	7.024798124
40	6.958148075
41	6.900831376
42	6.827679653
43	6.764271767
44	6.700964297
45	6.644346322
46	6.586210155
47	6.531219459
48	6.471665956
49	6.427174668
50	6.383701541
51	6.335379282
52	6.291741627
53	6.246238346
54	6.20017293
55	6.159132043
56	6.124451779
57	6.090045061
58	6.054069175
59	6.023246444
60	5.993848517
61	5.960122049
62	5.929995795
63	5.895499185
64	5.867899299
65	5.842643996
66	5.815263557
67	5.787015247
68	5.765156306
69	5.741011795
70	5.719909764
71	5.697460799
72	5.677523118
73	5.658213431
74	5.639007802
75	5.619110126
76	5.602640719
77	5.584430004
78	5.572189504
79	5.557157075
80	5.541278604
81	5.528137259
82	5.521989642
83	5.506834548
84	5.492479601
85	5.477373155
86	5.461186826
87	5.45225509
88	5.43987383
89	5.42915227
90	5.414534106
91	5.4061707
92	5.393603901
93	5.385133232
94	5.377164763
95	5.362266466
96	5.350858501
97	5.341894072
98	5.334870707
99	5.325441084
100	5.317093508
101	5.306871511
102	5.297764116
103	5.287212616
104	5.281529506
105	5.272022905
106	5.2644322
107	5.256718639
108	5.249029577
109	5.23998347
110	5.231740206
111	5.225308915
112	5.221579752
113	5.215781472
114	5.208381773
115	5.202372167
116	5.195160775
117	5.189918005
118	5.181133218
119	5.172472162
120	5.166059363
121	5.161326534
122	5.155383926
123	5.149148054
124	5.142975537
125	5.137834516
126	5.131444102
127	5.124627195
128	5.119272314
129	5.114172801
130	5.108009504
131	5.104147822
132	5.09739508
133	5.092781283
134	5.088905706
135	5.085003046
136	5.078733006
137	5.073913936
138	5.07051537
139	5.06729834
140	5.061364114
141	5.055393122
142	5.054940124
143	5.04956085
144	5.041893457
145	5.037125714
146	5.030898149
147	5.027563886
148	5.023986696
149	5.017125334
150	5.012929463
151	5.010570561
152	5.002844615
153	4.998600547
154	4.995373357
155	4.988756244
156	4.984643075
157	4.982257888
158	4.978684074
159	4.976576665
160	4.974987909
161	4.971385891
162	4.966443695
163	4.961449311
164	4.95847581
165	4.952845468
166	4.950655505
167	4.947273031
168	4.943796597
169	4.939061817
170	4.935002506
171	4.932016629
172	4.927381919
173	4.924098313
174	4.919977906
175	4.915815844
176	4.912633561
177	4.909351467
178	4.903794171
179	4.899392082
180	4.897155401
181	4.889918087
182	4.885792894
183	4.879317607
184	4.87494807
185	4.869099276
186	4.86510411
187	4.861146499
188	4.856763488
189	4.851725537
190	4.849180687
191	4.84473555
192	4.840209044
193	4.838179547
194	4.836852738
195	4.831448134
196	4.828448757
197	4.825906048
198	4.822496428
199	4.81688675
200	4.815574625
201	4.813762781
202	4.81050298
203	4.806814663
204	4.802724228
205	4.799255984
206	4.795859328
207	4.792519484
208	4.788332425
209	4.785090549
210	4.782777462
211	4.77885917
212	4.77509914
213	4.770716302
214	4.768883573
215	4.767566571
216	4.764894292
217	4.760683105
218	4.756209649
219	4.750816869
220	4.750287805
221	4.749770614
222	4.747927406
223	4.744434444
224	4.739788627
225	4.736371432
226	4.734492789
227	4.73246519
228	4.731198004
229	4.730825521
230	4.728319279
231	4.728217806
232	4.724579181
233	4.721892354
234	4.720170323
235	4.713304073
236	4.711556915
237	4.710534433
238	4.707320609
239	4.701927847
240	4.699969911
241	4.698236606
242	4.69728575
243	4.695624828
244	4.691564779
245	4.689313971
246	4.687807834
247	4.686225618
248	4.682215176
249	4.680777815
250	4.678351014
251	4.674160258
252	4.670943204
253	4.667181263
254	4.664575045
255	4.662512945
256	4.660100046
257	4.659004072
258	4.656819386
259	4.653516322
260	4.651647512
261	4.647408441
262	4.644430094
263	4.641126412
264	4.639811028
265	4.63700892
266	4.632031433
267	4.627358283
268	4.623360225
269	4.621412944
270	4.61934805
271	4.616221994
272	4.611475328
273	4.608200523
274	4.599991152
275	4.597659892
276	4.593892156
277	4.587946416
278	4.583688698
279	4.580162882
280	4.575024413
281	4.571369765
282	4.570313564
283	4.57024473
284	4.565269005
285	4.560296952
286	4.557961965
287	4.555761287
288	4.551254582
289	4.545618929
290	4.542397195
291	4.539288694
292	4.534807161
293	4.528987163
294	4.527685249
295	4.522800828
296	4.518725181
297	4.514811098
298	4.512429531
299	4.511151953
300	4.505650038
301	4.502240096
302	4.498379744
303	4.498085267
304	4.49341023
305	4.490679089
306	4.487208964
307	4.48612001
308	4.482633154
309	4.478565813
310	4.471996621
311	4.467596804
312	4.463268614
313	4.460096072
314	4.459077139
315	4.456899248
316	4.45670591
317	4.455966562
318	4.450399062
319	4.447818198
320	4.446109414
321	4.443708914
322	4.439496285
323	4.437043783
324	4.435039328
325	4.430203498
326	4.424739436
327	4.422583334
328	4.419654984
329	4.418577001
330	4.418330182
331	4.416749582
332	4.415462744
333	4.414231874
334	4.411491911
335	4.409412806
336	4.406002709
337	4.401380884
338	4.399830534
339	4.398447249
340	4.397877364
341	4.397556067
342	4.393141261
343	4.39059175
344	4.387160958
345	4.384799427
346	4.379708773
347	4.37509077
348	4.374422513
349	4.371556903
350	4.368987333
351	4.365732493
352	4.363399785
353	4.359906081
354	4.359687485
355	4.354657871
356	4.352247309
357	4.347757661
358	4.346226627
359	4.341239515
360	4.337104501
361	4.3300873
362	4.326504955
363	4.322300238
364	4.31650226
365	4.313724286
366	4.311369395
367	4.307215099
368	4.305538235
369	4.302762545
370	4.301936337
371	4.299729579
372	4.296065276
373	4.293637618
374	4.291618992
375	4.288706199
376	4.285480447
377	4.280028989
378	4.275858227
379	4.273488965
380	4.269632309
381	4.268464935
382	4.265960062
383	4.261438258
384	4.260067137
385	4.259340518
386	4.257900758
387	4.256867295
388	4.255461623
389	4.254063815
390	4.251118149
391	4.250493009
392	4.24594793
393	4.241885721
394	4.236491925
395	4.235067635
396	4.233407513
397	4.232616488
398	4.229311154
399	4.228738642
400	4.226376878
401	4.225477214
402	4.223198315
403	4.217094881
404	4.213112322
405	4.21054656
406	4.207559636
407	4.204186481
408	4.200525076
409	4.195763276
410	4.194572692
411	4.191998389
412	4.188189356
413	4.185538598
414	4.180203907
415	4.177018105
416	4.175357599
417	4.173154827
418	4.17013083
419	4.167669447
420	4.163684999
421	4.160539157
422	4.15647302
423	4.154306132
424	4.150306964
425	4.147612712
426	4.142852109
427	4.142610491
428	4.137748708
429	4.135644726
430	4.13275674
431	4.131578203
432	4.127429039
433	4.124550938
434	4.122740516
435	4.120822412
436	4.117964717
437	4.11597939
438	4.111944709
439	4.110593371
440	4.106884094
441	4.105856642
442	4.102126056
443	4.101600431
444	4.101214563
445	4.098344312
446	4.094926772
447	4.094400673
448	4.092109761
449	4.09056953
450	4.085264753
451	4.082180252
452	4.079674928
453	4.075588407
454	4.073383178
455	4.071205281
456	4.068171677
457	4.067503189
458	4.065053601
459	4.062339556
460	4.060505253
461	4.060021194
462	4.055945574
463	4.051902509
464	4.05039216
465	4.049046456
466	4.046330192
467	4.041369089
468	4.039767159
469	4.037315028
470	4.034537273
471	4.034104399
472	4.031169608
473	4.029198783
474	4.028980423
475	4.026260953
476	4.023602122
477	4.022833263
478	4.018899411
479	4.017640207
480	4.017492092
481	4.015501877
482	4.013520657
483	4.013222935
484	4.009588038
485	4.006428075
486	4.002241223
487	3.999663263
488	3.998260267
489	3.997261223
490	3.995658237
491	3.991153687
492	3.989794765
493	3.987895811
494	3.987445317
495	3.987215573
496	3.98603401
497	3.982914487
498	3.980569306
499	3.977795592
500	3.973620132
501	3.970048578
502	3.968752468
503	3.966126254
504	3.962393941
505	3.961840894
506	3.959016759
507	3.958553627
508	3.957786969
509	3.956572862
510	3.950295701
511	3.946286948
512	3.942755673
513	3.942222629
514	3.940981037
515	3.938686973
516	3.936907234
517	3.933590775
518	3.930511027
519	3.927363083
520	3.924968048
521	3.92414502
522	3.923060437
523	3.922247643
524	3.920565751
525	3.918771049
526	3.914616456
527	3.913548867
528	3.912513894
529	3.910023944
530	3.907565878
531	3.906194502
532	3.902983283
533	3.899841542
534	3.897219364
535	3.893531128
536	3.891872838
537	3.891568393
538	3.890292528
539	3.888767939
540	3.885472491
541	3.885357941
542	3.884235844
543	3.883710383
544	3.882539572
545	3.880325372
546	3.877884109
547	3.874372173
548	3.87289963
549	3.871106391
550	3.869794771
551	3.869658559
552	3.86790254
553	3.866031179
554	3.864108016
555	3.862861497
556	3.862684305
557	3.861019887
558	3.859277357
559	3.858772472
560	3.855509467
561	3.852412556
562	3.850739283
563	3.848000331
564	3.844307547
565	3.841825823
566	3.839861425
567	3.837203153
568	3.834677622
569	3.833705909
570	3.832194026
571	3.831924886
572	3.831817723
573	3.831636405
574	3.827477939
575	3.82649974
576	3.824431179
577	3.823099668
578	3.820505716
579	3.818111489
580	3.816238667
581	3.812160204
582	3.80928068
583	3.807774037
584	3.806379367
585	3.805999356
586	3.80421493
587	3.802745202
588	3.799018693
589	3.797788479
590	3.795288456
591	3.791407659
592	3.789452617
593	3.786414289
594	3.784508006
595	3.782757507
596	3.782389851
597	3.78211131
598	3.781261816
599	3.779991306
600	3.778931358
601	3.776562587
602	3.776244074
603	3.771272862
604	3.76783561
605	3.764568903
606	3.763408887
607	3.762278383
608	3.75972218
609	3.759189374
610	3.757689069
611	3.755972145
612	3.754307018
613	3.749551056
614	3.74820351
615	3.745327823
616	3.740987959
617	3.740530185
618	3.739434407
619	3.73683818
620	3.734320222
621	3.734111336
622	3.733227222
623	3.730683062
624	3.729528133
625	3.726634986
626	3.724096875
627	3.722840908
628	3.720511548
629	3.71846913
630	3.717578625
631	3.716012177
632	3.713543648
633	3.712276663
634	3.711879097
635	3.710484127
636	3.709324593
637	3.707726111
638	3.705312632
639	3.70126891
640	3.696872714
641	3.695248778
642	3.693301429
643	3.693148305
644	3.690932974
645	3.687982204
646	3.684197593
647	3.682756426
648	3.679119262
649	3.676920397
650	3.676844961
651	3.67577958
652	3.675614836
653	3.673990112
654	3.671531705
655	3.670529781
656	3.668328122
657	3.666556081
658	3.662154031
659	3.661297441
660	3.658857968
661	3.657472794
662	3.655533534
663	3.653640208
664	3.650351613
665	3.6489905
666	3.647167733
667	3.643257824
668	3.641375375
669	3.637977504
670	3.637538171
671	3.637389008
672	3.633421117
673	3.631707082
674	3.627918215
675	3.626580447
676	3.625099933
677	3.625033756
678	3.623239213
679	3.621748761
680	3.61857594
681	3.614762655
682	3.611808682
683	3.610069334
684	3.609146526
685	3.606520629
686	3.604085155
687	3.601246827
688	3.60111681
689	3.599999156
690	3.596349784
691	3.595202733
692	3.59288528
693	3.58968843
694	3.586528098
695	3.58444939
696	3.582951999
697	3.579302637
698	3.579075478
699	3.578716656
700	3.578230069
701	3.575901486
702	3.574002759
703	3.571862512
704	3.570777634
705	3.570474464
706	3.568491886
707	3.564449547
708	3.560846285
709	3.559849695
710	3.555945207
711	3.555380304
712	3.554678242
713	3.554435255
714	3.553401911
715	3.550773941
716	3.548535751
717	3.546855576
718	3.545006119
719	3.54234008
720	3.541877349
721	3.539242799
722	3.537776071
723	3.532797895
724	3.529220816
725	3.529095688
726	3.52795096
727	3.526855623
728	3.52532386
729	3.523128288
730	3.522181871
731	3.521088715
732	3.52033869
733	3.51721984
734	3.514229609
735	3.510843748
736	3.508712044
737	3.507629348
738	3.506942864
739	3.5059128
740	3.502657982
741	3.501064977
742	3.499821198
743	3.496695627
744	3.495090296
745	3.493079336
746	3.492751135
747	3.492674059
748	3.491527016
749	3.490565917
750	3.489012039
751	3.487120724
752	3.485342886
753	3.481967199
754	3.479144855
755	3.477904314
756	3.476333635
757	3.474731588
758	3.473547407
759	3.47322116
760	3.470273455
761	3.469513901
762	3.467606033
763	3.464544845
764	3.463207306
765	3.462251911
766	3.461240948
767	3.460987128
768	3.458066777
769	3.456571966
770	3.454656991
771	3.452918299
772	3.451420211
773	3.450209498
774	3.445774738
775	3.441479981
776	3.439594567
777	3.436186018
778	3.434737661
779	3.432894349
780	3.431804277
781	3.430729887
782	3.428950285
783	3.425111401
784	3.420264261
785	3.418034429
786	3.416462749
787	3.415165372
788	3.413557375
789	3.411930876
