iter	Passed	Remaining
0	134	134670
1	135	67542
2	135	45144
3	136	33947
4	136	27222
5	137	22789
6	138	19607
7	138	17214
8	139	15381
9	140	13902
10	141	12702
11	142	11691
12	142	10836
13	143	10089
14	143	9454
15	144	8915
16	145	8410
17	145	7961
18	146	7578
19	147	7246
20	148	6919
21	148	6618
22	149	6347
23	149	6098
24	150	5865
25	150	5652
26	151	5454
27	151	5271
28	152	5100
29	153	4960
30	154	4822
31	154	4686
32	155	4555
33	156	4437
34	156	4324
35	157	4217
36	158	4114
37	158	4017
38	159	3926
39	160	3842
40	160	3765
41	161	3687
42	162	3614
43	163	3545
44	163	3479
45	165	3422
46	165	3361
47	166	3301
48	167	3245
49	167	3188
50	168	3132
51	168	3077
52	169	3025
53	169	2977
54	170	2929
55	171	2885
56	171	2840
57	172	2801
58	173	2765
59	174	2729
60	175	2694
61	175	2661
62	177	2637
63	178	2603
64	179	2575
65	179	2546
66	180	2513
67	181	2481
68	181	2450
69	182	2421
70	182	2392
71	183	2366
72	184	2341
73	184	2313
74	185	2287
75	186	2261
76	186	2237
77	187	2213
78	187	2189
79	188	2166
80	189	2144
81	189	2122
82	189	2097
83	190	2077
84	191	2058
85	191	2039
86	192	2019
87	193	2001
88	193	1982
89	194	1964
90	194	1946
91	195	1930
92	196	1913
93	196	1896
94	197	1880
95	198	1865
96	198	1849
97	199	1833
98	199	1817
99	200	1801
100	200	1786
101	201	1770
102	201	1755
103	202	1741
104	202	1727
105	203	1713
106	203	1699
107	204	1685
108	204	1672
109	205	1659
110	205	1647
111	206	1636
112	206	1624
113	207	1613
114	208	1603
115	208	1592
116	209	1581
117	210	1571
118	210	1560
119	211	1550
120	211	1539
121	212	1529
122	213	1519
123	213	1509
124	214	1499
125	214	1489
126	215	1480
127	215	1471
128	216	1462
129	217	1453
130	217	1444
131	218	1435
132	218	1426
133	219	1418
134	220	1411
135	220	1403
136	221	1395
137	222	1386
138	222	1378
139	222	1369
140	223	1361
141	223	1353
142	224	1343
143	224	1335
144	225	1327
145	225	1320
146	226	1312
147	226	1305
148	227	1297
149	227	1290
150	228	1282
151	228	1275
152	229	1267
153	229	1260
154	229	1253
155	230	1246
156	230	1239
157	231	1233
158	231	1226
159	232	1219
160	232	1212
161	233	1206
162	233	1199
163	234	1193
164	234	1189
165	235	1183
166	236	1178
167	237	1173
168	237	1169
169	238	1164
170	239	1159
171	239	1154
172	240	1149
173	241	1144
174	241	1140
175	242	1135
176	243	1130
177	243	1126
178	244	1121
179	245	1116
180	245	1111
181	246	1107
182	247	1102
183	247	1098
184	248	1094
185	249	1090
186	249	1086
187	250	1082
188	251	1077
189	251	1073
190	252	1068
191	252	1064
192	253	1060
193	254	1055
194	254	1051
195	255	1047
196	256	1043
197	256	1039
198	257	1035
199	257	1031
200	258	1027
201	258	1023
202	259	1019
203	260	1015
204	260	1011
205	261	1007
206	261	1003
207	262	999
208	263	995
209	263	992
210	264	988
211	265	985
212	265	982
213	266	978
214	267	975
215	267	971
216	268	968
217	268	964
218	269	961
219	270	958
220	270	954
221	271	951
222	272	947
223	272	944
224	273	940
225	273	937
226	274	933
227	274	930
228	275	927
229	276	924
230	276	921
231	277	918
232	278	915
233	278	912
234	279	909
235	279	905
236	280	902
237	281	899
238	281	896
239	282	893
240	282	890
241	283	887
242	283	884
243	284	881
244	285	878
245	285	875
246	286	872
247	286	869
248	287	865
249	287	862
250	288	859
251	288	856
252	289	853
253	289	850
254	290	847
255	290	844
256	291	841
257	291	838
258	292	836
259	293	833
260	293	831
261	294	830
262	295	827
263	295	825
264	296	822
265	297	820
266	297	817
267	298	815
268	299	812
269	299	810
270	300	807
271	300	805
272	301	802
273	301	800
274	302	797
275	302	794
276	303	791
277	303	789
278	304	786
279	304	783
280	305	781
281	306	779
282	306	777
283	307	774
284	307	772
285	308	770
286	309	768
287	309	765
288	310	763
289	310	761
290	311	759
291	312	757
292	312	755
293	313	752
294	314	750
295	314	748
296	315	747
297	316	745
298	317	743
299	317	740
300	318	738
301	318	736
302	319	734
303	320	732
304	320	730
305	321	728
306	322	726
307	322	724
308	323	722
309	323	720
310	324	718
311	325	716
312	325	714
313	326	712
314	327	711
315	327	709
316	328	707
317	329	705
318	329	703
319	330	701
320	330	699
321	331	697
322	331	695
323	332	692
324	332	690
325	333	688
326	333	686
327	334	685
328	335	683
329	335	681
330	336	680
331	337	678
332	337	676
333	338	674
334	339	673
335	339	671
336	340	669
337	341	668
338	341	666
339	342	664
340	343	663
341	343	661
342	344	659
343	344	657
344	345	656
345	346	654
346	346	652
347	347	651
348	348	649
349	348	648
350	349	646
351	350	644
352	350	643
353	351	641
354	352	639
355	352	638
356	353	636
357	354	634
358	354	633
359	355	631
360	355	629
361	356	628
362	357	627
363	358	625
364	358	624
365	359	622
366	359	620
367	360	619
368	361	617
369	362	616
370	362	615
371	363	613
372	364	612
373	364	610
374	365	609
375	365	607
376	366	605
377	367	604
378	367	602
379	368	601
380	369	599
381	369	597
382	370	596
383	370	594
384	371	593
385	372	592
386	373	591
387	373	589
388	374	588
389	375	587
390	376	586
391	377	584
392	377	583
393	378	582
394	379	580
395	379	579
396	380	578
397	381	576
398	382	575
399	382	574
400	383	572
401	384	571
402	384	570
403	385	569
404	386	567
405	387	566
406	388	565
407	388	564
408	389	562
409	390	561
410	391	560
411	391	559
412	392	557
413	393	556
414	393	555
415	394	553
416	395	552
417	395	550
418	396	549
419	396	547
420	397	546
421	397	544
422	398	543
423	399	542
424	399	541
425	400	539
426	401	538
427	401	537
428	402	535
429	403	534
430	404	533
431	405	532
432	406	531
433	406	530
434	407	529
435	408	528
436	409	527
437	409	525
438	410	524
439	410	522
440	411	521
441	412	520
442	412	519
443	413	517
444	414	516
445	414	515
446	415	514
447	416	512
448	416	511
449	417	510
450	418	509
451	418	507
452	419	506
453	420	505
454	421	504
455	421	503
456	422	502
457	423	501
458	424	499
459	424	498
460	425	497
461	426	496
462	426	495
463	427	493
464	428	492
465	428	491
466	429	490
467	430	489
468	431	488
469	431	486
470	432	485
471	432	484
472	433	483
473	434	482
474	435	481
475	436	479
476	436	479
477	437	477
478	438	476
479	439	475
480	439	474
481	440	473
482	441	472
483	442	471
484	443	470
485	444	469
486	444	468
487	445	467
488	446	466
489	446	464
490	447	463
491	448	462
492	449	461
493	449	460
494	450	459
495	451	458
496	451	457
497	452	456
498	453	455
499	453	453
500	454	452
501	455	451
502	455	450
503	456	449
504	457	447
505	457	446
506	458	445
507	459	444
508	459	443
509	460	442
510	460	440
511	461	439
512	462	438
513	462	437
514	463	436
515	464	435
516	464	434
517	465	433
518	466	431
519	466	430
520	467	429
521	467	428
522	468	427
523	468	425
524	469	424
525	469	423
526	470	422
527	470	420
528	471	419
529	471	418
530	472	417
531	473	416
532	473	415
533	474	413
534	474	412
535	475	411
536	475	410
537	476	409
538	476	407
539	477	406
540	478	405
541	478	404
542	479	403
543	480	402
544	480	401
545	481	400
546	482	399
547	482	398
548	483	396
549	483	395
550	484	394
551	485	393
552	485	392
553	486	391
554	486	390
555	487	389
556	487	388
557	488	386
558	488	385
559	489	384
560	489	383
561	490	382
562	491	381
563	491	380
564	492	379
565	493	378
566	493	377
567	494	376
568	495	375
569	496	374
570	496	373
571	497	372
572	497	370
573	498	369
574	498	368
575	499	367
576	500	366
577	500	365
578	501	364
579	502	363
580	502	362
581	503	361
582	503	360
583	504	359
584	504	358
585	505	356
586	505	355
587	506	354
588	506	353
589	507	352
590	507	351
591	508	350
592	509	349
593	509	348
594	510	347
595	510	346
596	511	345
597	511	344
598	512	342
599	512	341
600	513	340
601	513	339
602	514	338
603	514	337
604	515	336
605	515	335
606	516	334
607	517	333
608	517	332
609	518	331
610	518	330
